DocumentoCliente	NombreCliente	Sexo	FechaNacimientoCliente	CorreoCliente	DireccionCliente	CodigoCiudad
526968621	Jeronimo Villegas	Masculino	02/08/1991	Jeronimovillegas@gmail.com	Avenida 180 - 170 Sur	11
829204555	Estefania Fernandez	Femenino	06/06/1989	Estefaniafernandez@hotmail.com	Calle 57 - 26 Norte	12
531216415	Guillermo Ramirez	Masculino	10/10/1963	Guillermoramirez@hotmail.com	Kra 172 - 44 Sur	15
633220354	Eliana Carmona	Femenino	01/05/1960	Elianacarmona@outlook.com	Dg 160 - 159 Sur	14
590905225	Jose De santis	Masculino	12/11/1962	Josedesantis@gmail.com	Kra 137 - 172 Sur	25
367308571	Marcela Franco	Femenino	07/07/1963	Marcelafranco@hotmail.com	Dg 28 - 147 Norte	11
623697163	Daniela Cortes	Femenino	09/12/1962	Danielacortes@hotmail.com	Vereda 26 - 65 Sur	18
722232990	Rafael Berrio	Masculino	06/02/1954	Rafaelberrio@outlook.com	Avenida 161 - 53 Centro	10
913356698	Camilo Arias	Masculino	09/01/1969	Camiloarias@gmail.com	Avenida 116 - 108 Occidente	19
101865495	Francisco Merizalde	Masculino	05/10/1965	Franciscomerizalde@hotmail.com	Calle 44 - 171 Centro	18
895756102	Antonio Restrepo	Masculino	09/08/1940	Antoniorestrepo@hotmail.com	Kra 158 - 31 Occidente	20
1029165418	Karen Lemus	Femenino	09/01/1969	Karenlemus@outlook.com	Dg 183 - 191 Occidente	14
488922903	David Santana	Masculino	11/07/1955	Davidsantana@gmail.com	Kra 61 - 195 Occidente	15
151292027	Javier Saldarriaga	Masculino	09/05/1954	Javiersaldarriaga@hotmail.com	Dg 15 - 95 Sur	23
1017106304	Virginia Posada	Femenino	06/08/1949	Virginiaposada@hotmail.com	Vereda 70 - 57 Occidente	14
776967314	Sergio Zea	Masculino	12/02/1962	Sergiozea@outlook.com	Avenida 135 - 36 Sur	16
968262783	Jorge Diaz	Masculino	09/12/1969	Jorgediaz@gmail.com	Avenida 67 - 12 Norte	22
497702347	Mariana Giraldo	Femenino	04/03/1966	Marianagiraldo@hotmail.com	Calle 136 - 74 Sur	14
990029021	Esteban Idarraga	Masculino	04/02/1965	Estebanidarraga@hotmail.com	Kra 93 - 107 Sur	22
773167690	Jorge Simanca	Masculino	05/08/1959	Jorgesimanca@outlook.com	Dg 33 - 115 Sur	19
492811012	Alejandro Pulgarin	Masculino	11/03/1965	Alejandropulgarin@gmail.com	Kra 41 - 51 Norte	20
706416891	Angelina Aguirre	Femenino	09/11/1965	Angelinaaguirre@hotmail.com	Dg 93 - 57 Sur	13
815514995	Brenda Tamayo	Femenino	06/12/1949	Brendatamayo@hotmail.com	Vereda 86 - 140 Centro	21
442826007	Gloria Carmona	Femenino	10/07/1965	Gloriacarmona@outlook.com	Avenida 185 - 161 Occidente	21
1022654789	Andrea Diaz	Femenino	11/04/1962	Andreadiaz@gmail.com	Avenida 181 - 76 Centro	22
243648704	Lucero Alzate	Femenino	06/04/1960	Luceroalzate@hotmail.com	Calle 112 - 154 Occidente	23
584406818	Angela Arango	Femenino	24/03/1993	Angelaarango@hotmail.com	Kra 179 - 14 Occidente	19
122661828	Felipe Garces	Masculino	27/01/1991	Felipegarces@outlook.com	Dg 75 - 79 Occidente	17
594715845	Elena Uribe	Femenino	01/06/1965	Elenauribe@gmail.com	Kra 149 - 173 Sur	11
711377517	Carmen Ospina	Femenino	22/12/1961	Carmenospina@hotmail.com	Dg 58 - 178 Occidente	17
161152537	Daniel Peláez	Masculino	04/07/1964	Danielpeláez@hotmail.com	Vereda 92 - 176 Sur	12
297924335	Alberto Perez	Masculino	26/02/1965	Albertoperez@outlook.com	Avenida 141 - 84 Norte	11
704509859	Elena Carmona	Femenino	31/07/1964	Elenacarmona@gmail.com	Avenida 124 - 92 Sur	10
852365835	Sebastian Cifuentes	Masculino	29/09/1955	Sebastiancifuentes@hotmail.com	Calle 65 - 164 Sur	17
319287527	Oscar Jaramillo	Masculino	01/09/1970	Oscarjaramillo@hotmail.com	Kra 154 - 49 Sur	20
945735674	Santiago Melano	Masculino	28/05/1967	Santiagomelano@outlook.com	Dg 129 - 163 Norte	23
731085359	Luis Mendez	Masculino	01/04/1942	Luismendez@gmail.com	Kra 71 - 99 Sur	14
1009602424	Tammy Ramirez	Masculino	01/09/1970	Tammyramirez@hotmail.com	Dg 54 - 159 Centro	12
602860789	Tomas Girando	Masculino	02/03/1957	Tomasgirando@hotmail.com	Vereda 184 - 157 Occidente	11
583191414	Felipe Diez	Masculino	30/12/1955	Felipediez@outlook.com	Avenida 188 - 69 Centro	16
114672216	Patricia Sierra	Femenino	29/03/1951	Patriciasierra@gmail.com	Avenida 163 - 102 Occidente	14
144394377	Luisa Vallejo	Femenino	05/10/1963	Luisavallejo@hotmail.com	Calle 112 - 112 Occidente	19
388789434	Sara Guerrero	Femenino	01/08/1971	Saraguerrero@hotmail.com	Kra 12 - 44 Occidente	16
936726328	Alexandra Guerra	Femenino	25/10/1967	Alexandraguerra@outlook.com	Dg 30 - 182 Sur	22
974599784	Lisa Rodríguez	Femenino	27/09/1966	Lisarodríguez@gmail.com	Kra 158 - 143 Occidente	14
386608202	Ana Maria Marulanda	Femenino	27/03/1961	Anamariamarulanda@hotmail.com	Dg 33 - 27 Sur	11
229299999	Sofia Palacio	Femenino	01/11/1966	Sofiapalacio@hotmail.com	Vereda 63 - 144 Norte	19
981715283	Paula Bermudez	Femenino	02/07/1967	Paulabermudez@outlook.com	Avenida 190 - 98 Sur	18
629384851	Jesus Toledo	Masculino	29/07/1951	Jesustoledo@gmail.com	Avenida 82 - 182 Sur	15
772326445	Roberta Arango	Femenino	02/03/1967	Robertaarango@hotmail.com	Calle 92 - 22 Sur	21
98304697	Tatiana Acevedo	Femenino	02/12/1963	Tatianaacevedo@hotmail.com	Kra 109 - 123 Norte	23
984385990	Melina Cock	Femenino	27/11/1961	Melinacock@outlook.com	Dg 123 - 41 Sur	23
