CodigoPedido	DocumentoCliente	CodigoCiudad	CodigoProducto	CantidadProducto	FechaPedido	HoraPedido
P00000981	154549298	11	A0002	2	07/03/2018	15:00:00
P00000981	154549298	11	G0001	1	07/03/2018	15:00:00
P00000981	154549298	11	H0002	10	07/03/2018	15:00:00
P00000982	154549298	11	R0001	3	11/05/2018	8:00:00
P00000982	154549298	11	L0002	1	11/05/2018	8:00:00
P00000982	154549298	11	C0003	5	11/05/2018	8:00:00
P00000982	154549298	11	A0002	1	11/05/2018	8:00:00
P00000983	154549298	11	G0001	2	01/01/2018	11:00:00
P00000983	154549298	11	R0002	1	01/01/2018	11:00:00
P00000983	154549298	11	L0001	6	01/01/2018	11:00:00
P00000983	154549298	11	A0001	2	01/01/2018	11:00:00
P00000983	154549298	11	C0004	1	01/01/2018	11:00:00
P00000771	648449777	22	H0003	2	01/02/2018	0:00:00
P00000011	889399901	13	C0001	1	01/02/2018	0:01:00
P00000011	889399901	13	C0004	5	01/02/2018	0:01:00
P00000011	889399901	13	R0001	1	02/02/2018	10:00:00
P00000011	889399901	13	G0001	1	02/02/2018	10:00:00
P00000461	211254346	11	R0001	2	31/12/2016	10:00:00
P00000461	211254346	11	H0002	1	31/12/2016	10:00:00
P00000461	211254346	11	L0001	1	31/12/2016	10:00:00
P00000241	272938224	11	C0004	2	31/12/2017	9:00:00
P00000241	272938224	11	R0001	2	31/12/2017	9:00:00
P00000241	272938224	11	H0001	2	31/12/2017	9:00:00
P00000241	272938224	11	L0002	2	31/12/2017	9:00:00
P00000241	272938224	11	A0001	2	31/12/2017	9:00:00
P00000241	272938224	11	C0002	2	31/12/2017	9:00:00
P00000721	144862072	12	G0001	1	01/12/2017	16:00:00
P00000281	541943328	20	A0001	1	05/01/2018	16:00:00
P00000281	541943328	20	C0001	1	05/01/2018	16:00:00
P00000281	541943328	20	C0004	1	05/01/2018	16:00:00
P00000281	541943328	20	G0001	1	05/01/2018	16:00:00
P00000281	541943328	20	R0001	1	05/01/2018	16:00:00
P00000281	541943328	20	H0001	1	05/01/2018	16:00:00
P00000281	541943328	20	L0001	1	05/01/2018	16:00:00
P00000282	541943328	20	L0002	1	10/01/2018	16:00:00
P00000251	590905225	25	C0001	2	07/03/2018	11:36:00
P00000251	590905225	25	C0004	2	07/03/2018	11:36:00
P00000251	590905225	25	R0001	2	07/03/2018	11:36:00
P00000251	590905225	25	L0001	2	07/03/2018	11:36:00
P00000541	633220354	14	G0001	1	25/02/2018	11:45:00
P00000541	633220354	14	R0002	2	25/02/2018	11:45:00
P00000541	633220354	14	H0003	3	25/02/2018	11:45:00
P00000031	488922903	15	L0001	2	25/01/2018	12:48:00
P00000032	488922903	15	L0001	2	26/01/2018	12:48:00
P00000901	984385990	23	R0001	1	02/01/2018	13:50:00
P00000901	984385990	23	H0002	2	02/01/2018	13:50:00
P00000611	945027661	18	L0001	3	25/02/2016	13:50:00
P00000801	992937880	13	G0001	1	07/12/2017	14:00:00
P00000801	992937880	13	C0004	2	07/12/2017	14:00:00
P00000801	992937880	13	C0001	3	07/12/2017	14:00:00
P00000551	662784555	12	A0001	2	23/10/2016	14:00:00
P00000551	662784555	12	C0001	6	23/10/2016	14:00:00
P00000551	662784555	12	L0003	5	23/10/2016	14:00:00
P00000552	662784555	12	H0001	1	25/10/2016	15:00:00
P00000151	531216415	15	H0003	2	17/12/2017	16:00:00
P00000151	531216415	15	L0001	2	17/12/2017	16:00:00
P00000152	531216415	15	H0003	3	17/12/2017	16:00:00
P00000152	531216415	15	L0001	3	17/12/2017	16:00:00
P00000551	829204555	12	P0001	1	05/03/2018	16:00:00
P00000551	829204555	12	L0002	1	05/03/2018	16:00:00
P00000211	990029021	22	A0001	1	16/01/2018	13:25:00
P00000211	990029021	22	C0001	1	16/01/2018	13:25:00
P00000211	990029021	22	G0001	1	16/01/2018	13:25:00
P00000211	990029021	22	R0001	1	16/01/2018	13:25:00
P00000211	990029021	22	H0001	1	16/01/2018	13:25:00
P00000211	990029021	22	L0001	1	16/01/2018	13:25:00
P00000211	990029021	22	P0001	1	16/01/2018	13:25:00
P00000212	990029021	22	A0002	1	25/01/2018	15:00:00
P00000212	990029021	22	A0002	1	25/01/2018	15:00:00
P00000212	990029021	22	C0002	1	25/01/2018	15:00:00
P00000212	990029021	22	G0002	1	25/01/2018	15:00:00
P00000212	990029021	22	R0002	1	25/01/2018	15:00:00
P00000212	990029021	22	H0002	1	25/01/2018	15:00:00
P00000212	990029021	22	L0002	1	25/01/2018	15:00:00
P00000212	990029021	22	P0002	1	25/01/2018	15:00:00
P00000141	776967314	16	R0001	2	25/02/2018	15:00:00
P00000141	776967314	16	H0001	2	25/02/2018	15:00:00
P00000891	1022654789	22	P0001	1	05/02/2018	17:00:00
P00000891	1022654789	22	L0001	1	05/02/2018	17:00:00
P00000351	852365835	17	P0002	2	06/02/2018	17:00:00
P00000351	852365835	17	A0002	2	06/02/2018	17:00:00
